CustomerID,FirstName,LastName,Email,Phone,Gender,DateOfBirth,LoyaltyPoints,FavoriteStore,FavoriteCategory
11445aef,Kimberly,Kelly,raytravis@barnes.com,+1-285-794-3279,Male,1970-07-18,2886,d1b19aa4,Men
a626b230,Jessica,Pearson,noblejason@yahoo.com,(372)729-3809x353,Male,2000-02-06,17,d86b7e19,Women
ffb78509,Justin,Saunders,keithjackson@hotmail.com,001-216-910-5290x259,Female,1995-01-27,1294,4bdfe513,Men
5ed51127,Katherine,Hubbard,daniel90@moore.org,145.520.9541,Female,1988-08-20,3393,ab781b21,Accessories
5e2df7a0,Daniel,Bowers,courtney07@gmail.com,(329)878-4843x723,Female,1959-09-01,2186,24061b90,Women
a6db044d,Cody,Richards,jamesli@wright-chapman.biz,(932)017-1365x56380,Male,1978-12-16,2489,e775a541,Accessories
81ab9270,Jessica,Pineda,alicecox@yahoo.com,+1-231-641-0594x1744,Male,1989-09-03,4678,d8623944,Men
4d2c552d,Robert,Brown,armstrongcharles@herring-adams.biz,001-947-926-8795x79048,Female,1969-05-27,3795,45d93829,Accessories
00deea70,Michael,Lam,michael94@hotmail.com,+1-451-797-0432x10845,Male,1961-12-31,338,b34c97c1,Women
a673676d,Douglas,Thompson,ronald37@hotmail.com,(191)107-6528,Other,1992-06-28,4537,9b027e6b,Accessories
a18dd2a8,Tracy,Phillips,hdavis@martin-bradley.com,151-590-8172x76274,Male,1966-08-02,3171,2e2eeb67,Men
cf603b6e,Jocelyn,Watson,marthahorne@robertson.org,+1-187-755-9401x901,Other,1991-10-06,895,a6fd8845,Men
668b6ea3,Taylor,Higgins,lisa63@hotmail.com,(808)125-1366x919,Female,1962-05-03,1315,2ca23414,Women
c0fe2484,Ashley,Harris,jenniferparker@yahoo.com,(980)321-2246,Female,1955-04-07,3848,54641d9c,Men
4dd179d5,Danny,Foster,harry27@johnson.com,001-689-794-7104x85000,Other,1959-03-19,377,6fb418c7,Accessories
40cc4dbd,Mariah,Brown,walkerryan@garcia-reynolds.com,+1-411-174-0623x379,Male,2000-01-29,213,fb004cde,Accessories
2b74ef4b,Gina,Anderson,erickemp@neal.com,(969)958-6870x12121,Other,1998-01-01,3859,7da913ab,Accessories
e66bb1e0,Bethany,Oliver,gainesamanda@gmail.com,8449975571,Other,1965-09-20,1358,57a8af52,Accessories
5f130c92,Frank,Rivera,marksmarilyn@weber-johnson.com,8322424574,Male,2002-10-17,160,f2e8e597,Women
ffeb5d58,Marc,Johnson,christian98@diaz-schmidt.com,(295)675-7318,Other,1979-07-08,316,ffcb619c,Accessories
7be0ad5a,James,Barton,xhoffman@yahoo.com,150.078.0371x00769,Male,1962-05-04,3452,e22e516f,Accessories
d5d783c3,Dana,Williams,amyrodgers@miller-rice.com,+1-229-296-4522x03580,Male,1996-04-14,3372,e8fa8495,Accessories
7731869d,Jasmine,Santos,laurarichardson@montoya.biz,001-212-379-0156x76280,Female,1979-02-24,3333,6f4ace0b,Accessories
981e6a5f,Amy,Walls,vschneider@yahoo.com,2783378840,Male,1978-12-22,3464,2f2624b5,Men
f288f5f6,James,Wolf,amy04@duran.info,643-890-7977,Male,2004-02-03,2198,4775227f,Accessories
a80c978a,Melissa,Waters,kmarks@gmail.com,5896320523,Other,1968-08-13,2508,fa78202a,Men
3603237b,Thomas,Hall,edavid@welch-snyder.biz,035.535.7981,Male,1996-07-26,2228,fea495c4,Men
2e0bf12f,Timothy,Simpson,gbutler@williams-joseph.com,947.250.1380,Female,1964-10-02,4516,e878e716,Women
e4dc2985,Timothy,Jones,lindsay73@hotmail.com,165.807.7754,Other,2001-07-23,3442,da81c882,Accessories
16a2859a,Laura,Williams,april48@hotmail.com,267-032-5092x8084,Other,1962-08-19,2561,3bbe9916,Women
d435a17b,Ana,Schwartz,kathleen77@novak-cox.info,875-611-1438,Male,2003-07-30,4474,99123e7c,Accessories
7388f372,Nicole,Woods,dbrown@bentley.com,272.257.0565x22645,Female,1950-11-13,1231,8a46e0fb,Men
2cc4b0c8,Alison,Ramirez,crystal65@young-cardenas.org,001-442-592-7010x96129,Female,1976-01-04,2409,c58fcba5,Men
a2992c62,Michael,Parker,pross@garner.com,140-671-3845x3512,Female,1976-12-02,4652,a485afef,Men
5eb6bc1c,Tina,Klein,xrussell@gmail.com,8936141885,Male,1967-05-15,2513,56fbb1a3,Men
083e0376,Joe,Frye,ashleyclements@woods.com,(510)735-2707x1249,Other,2005-07-08,4316,70d66cbf,Men
1bbb242b,David,Jones,stevensjon@mcguire-matthews.net,001-729-301-0378x0004,Male,1953-09-26,3132,bbde41e5,Accessories
50baac6d,Robert,Gallegos,scott94@yahoo.com,268-287-8310x916,Male,1983-01-28,2908,3b516372,Men
32dd8327,Crystal,Cooke,darryl03@lynn.info,832.320.1228,Male,1993-04-16,3202,ed01bb88,Accessories
8e798038,Whitney,Flores,james99@hotmail.com,(628)018-6921,Female,1975-03-21,1403,d82f0718,Women
a5ae6077,Emily,Orr,moralesandrew@mullins-farley.com,+1-919-976-6156x9179,Other,1980-01-16,4180,831cfa42,Men
4d82060d,Matthew,Reeves,lambertdavid@yahoo.com,(085)903-9378x680,Other,1992-09-16,4697,4b780487,Women
e67ed83b,William,Castillo,henry09@hotmail.com,(470)296-7569x02028,Female,1954-05-15,3103,6ab11474,Men
d709a4f4,Sean,Pena,jordanschmidt@hotmail.com,+1-470-527-6110x0046,Male,1976-10-22,304,88bd19de,Women
1decaf3a,Christine,Dixon,gfleming@yahoo.com,(660)304-6843x96490,Other,1960-06-28,4672,4cfd9487,Women
ff4a44d8,Gary,Allen,pjohns@yahoo.com,190.672.9514x7250,Female,2003-04-24,4162,8216ca01,Men
99860d90,Ashley,Smith,hunter07@avila.com,2521937389,Other,1978-12-11,3965,c885e976,Men
dacd234f,Hannah,Torres,brewerdenise@smith.com,(835)162-5209,Other,1960-06-03,4397,0769c24f,Men
221a039d,Jennifer,Lawrence,rileyjoseph@reyes-marsh.info,001-196-809-0780,Other,1991-07-23,2394,2a62eebc,Men
323ad764,Patrick,Moss,whitesharon@yahoo.com,+1-729-173-4842x81874,Female,1959-12-30,3894,388e3f36,Men
6f4e099b,Jaclyn,Howe,gonzalezlisa@mejia.net,851-550-4417,Female,1975-08-30,1574,26bb5008,Accessories
2dc037ef,Patrick,Cohen,karla19@yahoo.com,267-405-5271,Female,1987-11-30,374,5177a1be,Accessories
e8983c5c,Kimberly,Marshall,david77@gmail.com,+1-543-631-9961x7096,Male,1992-08-14,2126,74813e9c,Women
ceb31ab7,Sandra,Douglas,jonathanrandall@freeman.net,001-320-232-0793,Male,1968-12-29,1885,983f2d6f,Men
465e1d65,Andrew,Williams,gflores@doyle.com,(027)710-6409x6690,Female,1978-11-19,2350,e5e4d00a,Accessories
1d5d0e60,Charles,Golden,michaelahorn@gmail.com,394.426.4181x691,Female,1966-08-21,4254,5b4befa3,Accessories
0424c90b,Kirk,Jackson,ddillon@gmail.com,958-506-5838,Other,1964-05-10,3906,0581e056,Men
5ecb6770,Patrick,Dillon,murphyshannon@ellis-crawford.com,(469)396-0210,Male,1958-02-13,3246,4c279df7,Women
f604db8c,Derek,Heath,sylvia47@yahoo.com,(805)058-3141x7917,Female,1992-07-11,1421,ec65962b,Men
ad2366be,Martha,Molina,jonathan42@yahoo.com,599.377.8383x8023,Other,1956-09-22,2733,ec3d983f,Women
d8dfa06b,John,Hudson,wilkinsjoshua@yahoo.com,(677)791-5896x67130,Other,1975-04-22,4262,d6ada8c5,Accessories
c63ca57d,Ashley,Mercado,xgibbs@gmail.com,443-303-8411x7987,Male,1979-11-17,1344,d39c1bd1,Men
e4bbc78c,Richard,Clark,nancyrojas@hopkins.com,(436)499-1391,Male,1964-01-23,330,1acff704,Women
5d7d62e8,Alfred,Henderson,yalexander@wilson-thompson.org,072.765.4696x93190,Male,1986-12-14,3218,52fe6a4e,Accessories
c8d09f55,Derrick,Hurst,juliesoto@watson-jenkins.com,692-015-6025x01877,Other,1992-09-13,3880,2ad748be,Women
7cd21ae6,Carol,Turner,susanjensen@yahoo.com,731-976-3873x01824,Other,1978-05-07,4401,5416d4ae,Women
a068d204,Matthew,Hopkins,kristinemartin@hotmail.com,921.264.9170,Female,1959-05-04,686,15169504,Women
6f3c68d5,Clayton,Malone,hamiltonchristina@gmail.com,659.778.0533,Female,1970-07-20,2362,a90fe01e,Men
13c626fe,Natalie,Turner,juan92@gmail.com,+1-675-894-9951,Other,1949-11-09,2791,69e28110,Accessories
aad7ef7c,Erin,Jones,afernandez@hotmail.com,4815292736,Other,2004-05-09,1171,96095647,Women
c5ea49db,William,Powers,michael45@wyatt.com,887-246-7949x40308,Female,2001-01-05,2080,fee493e0,Men
e9aa8cab,Mark,Nguyen,michael64@castillo-garcia.net,012.285.2388x293,Female,1951-11-26,4103,690b7550,Women
7d2daf41,Hannah,Vang,william10@smith-williams.com,731-942-8704x45094,Other,2004-01-19,3301,8fde852d,Men
be688f67,Lawrence,Peters,romerostephen@shannon.net,483.992.5475x5540,Female,1954-08-06,1152,fcd2f9e4,Women
fcbe4d77,Cory,Vega,christina14@tran.com,001-519-082-6931x44182,Female,1975-10-25,3011,ac6d0972,Men
