EmployeeID,FirstName,LastName,Position,Department,Salary,HireDate,StoreID,Email
1bde5411,Rachael,Williams,Sales,HR,74806,2020-01-14,f4d9f6ba,amber58@mendoza.org
b24768ce,Rachel,Newman,Manager,HR,74917,2023-09-10,d1f4f695,danieljackson@johnson-allen.com
58bab50d,Seth,Pierce,HR,Sales,66561,2020-03-29,2005c766,laurenyoung@gmail.com
fce535bb,Monique,Gibson,Manager,Sales,84949,2023-03-15,1ec9085c,wpayne@gmail.com
cf552702,John,West,HR,Sales,84300,2020-01-30,b7635860,jameslee@yahoo.com
402fa245,Kevin,Garcia,HR,Warehouse,84896,2021-10-21,586a6220,lynn89@rodriguez.biz
65e5641e,Kristin,Anderson,HR,Warehouse,40721,2024-05-22,418853bb,mhall@jones.org
2d8034d0,Charles,Smith,Logistics,Corporate,44166,2023-07-26,63696c22,heatherbowman@hotmail.com
d9879e5c,Ryan,Foster,HR,Corporate,63918,2022-05-09,2318f497,jacob17@larson.info
8194f860,Joel,Bishop,HR,Corporate,102219,2021-08-26,6f89eca5,sototanya@thomas-daniels.net
26f22df8,Susan,Silva,Sales,Corporate,59286,2020-01-31,cde4a79b,gene02@conrad-ferrell.com
390e7846,Tracy,Curtis,HR,Sales,37995,2023-06-14,ee7f156d,zsalinas@hotmail.com
9fe75308,Jessica,Guerrero,Sales,Corporate,97129,2022-12-09,fe74cd63,james75@yahoo.com
4e4bdcb9,Nicholas,Santos,Sales,Warehouse,76910,2024-12-17,bf20ceee,melissa48@yahoo.com
c69708ef,Michelle,Hernandez,Manager,Sales,110389,2024-12-19,72b1db3a,bwhite@hotmail.com
3223c528,Caleb,Bryant,Sales,Corporate,91062,2023-03-23,2f8fa6bb,phillipschristopher@rice-fuentes.info
6a51b23a,Ann,Lopez,HR,Corporate,116112,2022-05-09,c769378d,jack24@gmail.com
6c087e8b,Sara,Hall,HR,Sales,39125,2022-03-13,e3279426,russellprice@holland.biz
9ccec569,Jason,Anderson,Sales,Sales,73569,2020-03-26,8f6dc163,sandra17@hotmail.com
2f872c65,April,Nguyen,Manager,Corporate,116352,2021-07-11,df3f782a,kara78@stone-johnson.com
c156b1ad,David,Hughes,HR,Warehouse,66014,2020-11-30,a523074b,christian30@gibson.com
8d9de9f1,Jeanette,Jimenez,Logistics,Sales,94311,2020-02-28,87489dbb,knightveronica@hotmail.com
7704b1c9,William,Lewis,Sales,Warehouse,55150,2020-07-30,cf996e34,joeladams@taylor-wright.com
c2e18357,Kevin,Richardson,Logistics,HR,84569,2022-10-01,1a56de26,dhobbs@jones-lee.org
1b1f0e5e,Dan,Mcneil,Manager,HR,98839,2024-02-21,10bf5328,nancyberry@salinas.com
65c72d43,Gary,Montoya,Sales,Sales,98800,2024-02-09,c9d4e885,floresnicholas@walker-cochran.com
de8e6543,Steven,Burnett,HR,HR,119188,2021-04-22,d3257473,joseph36@gmail.com
fa63b3b9,Barbara,Mcdowell,HR,Corporate,67887,2022-06-12,9bc6365b,stephaniewebster@newman.com
3909bf25,Holly,Nelson,Manager,HR,107849,2024-09-19,3c7f0645,sophia29@bailey.info
f600a98f,David,Crane,Logistics,Warehouse,70656,2021-06-17,c7473f17,courtneysalas@gmail.com
7f687782,Ashley,Sullivan,Sales,Warehouse,57738,2024-09-21,7962ddd0,vasquezgabriel@gmail.com
037db32a,Joshua,Oliver,Manager,Corporate,89632,2024-09-30,15241c10,paige30@davis-weeks.com
7ab09020,Jeremy,Nolan,Sales,HR,106250,2020-11-22,8b5d1758,thomas01@gmail.com
8e146163,Gregg,Baker,Manager,HR,32784,2021-02-12,8d1a4de4,joshua20@gmail.com
07197839,Janet,Lewis,Logistics,Sales,71983,2023-04-07,cc805d7e,daniel09@yahoo.com
d0a27ff9,Daniel,Hoover,Logistics,Corporate,46675,2024-07-12,477b7472,robinsonkenneth@woods.net
a086f09b,William,Baker,Manager,Corporate,51250,2020-09-04,f9f8cd2d,clarence04@flowers.com
71da3d2e,Nicholas,Ferguson,Manager,Corporate,62010,2024-05-09,5d164e09,jeremiah97@yahoo.com
95336571,Lindsay,Tucker,Sales,Warehouse,86710,2023-05-22,058cc109,kevin89@hotmail.com
30f1e364,Katherine,Smith,Logistics,Warehouse,51146,2020-02-28,661a2e6f,laurencross@hotmail.com
78ac463a,Kelsey,Maxwell,Sales,HR,118978,2020-01-06,2225b334,anichols@hernandez.biz
deac5919,Casey,Fernandez,Logistics,Corporate,59890,2020-10-09,8068154a,thomas11@vasquez.org
49c44fae,Samantha,Gutierrez,Manager,Corporate,40039,2020-12-24,a2c790d1,wrightdavid@yahoo.com
d74f4875,Bobby,White,Manager,HR,86785,2023-05-26,1f7fd0b5,danielle26@henry.com
218e4434,Kelsey,Murray,Manager,Corporate,72588,2021-02-24,3608fbf8,angela88@rios.com
9fd19014,Peggy,Cooper,Sales,Sales,91741,2024-09-18,76127fbb,melissa86@garcia.com
0bd05ee0,Lindsey,Henderson,Manager,Sales,117446,2024-09-03,f234878f,maldonadolisa@gmail.com
080c9836,Christina,Malone,Logistics,Sales,52509,2024-11-11,3a868f4c,jsummers@dyer.net
87ff7e89,Lisa,Maddox,Logistics,HR,66224,2020-02-21,eb115f93,morganwesley@wood-freeman.org
5b3fc715,Janet,Santana,Manager,HR,69529,2021-02-20,1d531013,wsmith@gmail.com
