CustomerID,FirstName,LastName,Email,Phone,Gender,DateOfBirth,LoyaltyPoints,FavoriteStore,FavoriteCategory
083e0376,Joe,Frye,ashleyclements@woods.com,(510)735-2707x1249,Other,2005-07-08,4316,70d66cbf,Men
7d2daf41,Hannah,Vang,william10@smith-williams.com,731-942-8704x45094,Other,2004-01-19,3301,8fde852d,Men
cdfc0c35,Kevin,Morgan,jvincent@hotmail.com,327.908.0753x04656,Male,1950-05-02,2743,fc7c164d,Accessories
aad7ef7c,Erin,Jones,afernandez@hotmail.com,4815292736,Other,2004-05-09,1171,96095647,Women
ceb31ab7,Sandra,Douglas,jonathanrandall@freeman.net,001-320-232-0793,Male,1968-12-29,1885,983f2d6f,Men
9ab485e7,David,Rodriguez,colemanamanda@hotmail.com,9412066373,Female,1959-02-02,1174,0b95598d,Women
8e798038,Whitney,Flores,james99@hotmail.com,(628)018-6921,Female,1975-03-21,1403,d82f0718,Women
e4dc2985,Timothy,Jones,lindsay73@hotmail.com,165.807.7754,Other,2001-07-23,3442,da81c882,Accessories
a80c978a,Melissa,Waters,kmarks@gmail.com,5896320523,Other,1968-08-13,2508,fa78202a,Men
2919bf7f,Jared,Martinez,morgan49@norris.com,271-991-8808x822,Other,1966-02-03,571,729ec35e,Accessories
981e6a5f,Amy,Walls,vschneider@yahoo.com,2783378840,Male,1978-12-22,3464,2f2624b5,Men
c0fe2484,Ashley,Harris,jenniferparker@yahoo.com,(980)321-2246,Female,1955-04-07,3848,54641d9c,Men
b033dc65,Matthew,Brown,chad00@gmail.com,+1-608-533-5266x84586,Other,1992-11-19,3043,7c42c605,Women
d4816ef5,Gregory,Castaneda,nixonkayla@holloway-evans.biz,001-756-495-4609,Female,2000-11-13,3639,2e2cb1a6,Men
a5ae6077,Emily,Orr,moralesandrew@mullins-farley.com,+1-919-976-6156x9179,Other,1980-01-16,4180,831cfa42,Men
cf603b6e,Jocelyn,Watson,marthahorne@robertson.org,+1-187-755-9401x901,Other,1991-10-06,895,a6fd8845,Men
e9aa8cab,Mark,Nguyen,michael64@castillo-garcia.net,012.285.2388x293,Female,1951-11-26,4103,690b7550,Women
75af9682,Brett,Stephenson,christopherramirez@smith.biz,(542)709-6135,Male,1970-01-24,4379,eb98a096,Women
4d2c1f27,Donald,Pollard,robertmontes@hotmail.com,(618)346-4933,Other,1978-08-30,3024,8affb35e,Men
668b6ea3,Taylor,Higgins,lisa63@hotmail.com,(808)125-1366x919,Female,1962-05-03,1315,2ca23414,Women
84f8f0bd,Robin,Vasquez,david24@jackson.info,001-682-238-8754,Other,1951-12-22,2561,f7606e94,Women
5eb6bc1c,Tina,Klein,xrussell@gmail.com,8936141885,Male,1967-05-15,2513,56fbb1a3,Men
