EmployeeID,FirstName,LastName,Position,Department,Salary,HireDate,StoreID,Email
218e4434,Kelsey,Murray,Manager,Corporate,72588,2021-02-24,3608fbf8,angela88@rios.com
73f83411,Melissa,Steele,Sales,Warehouse,112703,2022-07-07,f4c1f261,laurabarry@foster.com
9fe75308,Jessica,Guerrero,Sales,Corporate,97129,2022-12-09,fe74cd63,james75@yahoo.com
ae38cefa,Tracy,Gonzalez,Manager,Sales,84788,2022-12-21,dd558139,eolson@yahoo.com
6fd03e90,Tara,Velasquez,Sales,HR,69865,2021-02-17,45484e13,jacksonjames@gmail.com
95336571,Lindsay,Tucker,Sales,Warehouse,86710,2023-05-22,058cc109,kevin89@hotmail.com
c156b1ad,David,Hughes,HR,Warehouse,66014,2020-11-30,a523074b,christian30@gibson.com
fa63b3b9,Barbara,Mcdowell,HR,Corporate,67887,2022-06-12,9bc6365b,stephaniewebster@newman.com
0ca965f6,Tina,Chavez,HR,Sales,65578,2020-10-19,11d08058,kevin47@anderson.com
afd93e0d,Alyssa,Green,HR,HR,79605,2024-11-30,cea37b61,stewartjeffrey@yahoo.com
037db32a,Joshua,Oliver,Manager,Corporate,89632,2024-09-30,15241c10,paige30@davis-weeks.com
26f22df8,Susan,Silva,Sales,Corporate,59286,2020-01-31,cde4a79b,gene02@conrad-ferrell.com
b16df2ee,Julie,Henson,Sales,Warehouse,110839,2022-10-25,1e273c53,trogers@hotmail.com
6f610967,Wesley,Gray,Logistics,Corporate,39954,2021-04-26,284cce4a,whitechad@harper-greene.biz
3a62da4e,Angela,Gardner,Logistics,Corporate,112735,2022-12-28,6797c896,wilkinsrobert@horn.com
3d0215d3,Jimmy,Collins,HR,Sales,108882,2024-12-19,e10e39f2,leslie89@goodman.com
10cb2316,Caroline,George,Logistics,Corporate,98027,2023-02-19,82ff102b,jlozano@mayo.com
e42846e5,Wayne,Barrett,Logistics,HR,119443,2024-02-10,14e5fe70,sallyfranklin@meyer-perry.biz
90da6a86,Thomas,Fox,Sales,Sales,45013,2024-05-29,631fbc7a,smithdavid@sims.com
30eebf00,Debra,Fuentes,Manager,Warehouse,96244,2022-04-01,ca7dcf47,inunez@adams-brooks.info
65c72d43,Gary,Montoya,Sales,Sales,98800,2024-02-09,c9d4e885,floresnicholas@walker-cochran.com
0baf4e15,Brandon,Dodson,Logistics,Warehouse,109652,2021-07-18,dda4b547,shane09@gmail.com
b24768ce,Rachel,Newman,Manager,HR,74917,2023-09-10,d1f4f695,danieljackson@johnson-allen.com
6c087e8b,Sara,Hall,HR,Sales,39125,2022-03-13,e3279426,russellprice@holland.biz
8d9de9f1,Jeanette,Jimenez,Logistics,Sales,94311,2020-02-28,87489dbb,knightveronica@hotmail.com
eed55879,Robin,Torres,HR,HR,116047,2023-07-14,9ac288a5,zavila@chen.com
bff9b494,William,Velasquez,Sales,HR,71903,2023-08-14,2b2b631f,sarnold@hunter.com
49c44fae,Samantha,Gutierrez,Manager,Corporate,40039,2020-12-24,a2c790d1,wrightdavid@yahoo.com
f203e786,Kenneth,Cherry,Logistics,Corporate,51710,2020-05-26,2714af6a,dustin31@gmail.com
c2e18357,Kevin,Richardson,Logistics,HR,84569,2022-10-01,1a56de26,dhobbs@jones-lee.org
8194f860,Joel,Bishop,HR,Corporate,102219,2021-08-26,6f89eca5,sototanya@thomas-daniels.net
c205778d,Andrea,Young,Logistics,HR,61987,2020-04-16,ea2abd43,jenniferbarnes@castillo.com
d730e261,Lori,Sweeney,Manager,Corporate,97924,2022-11-11,16b234c5,smithsteven@mosley.com
a086f09b,William,Baker,Manager,Corporate,51250,2020-09-04,f9f8cd2d,clarence04@flowers.com
65e5641e,Kristin,Anderson,HR,Warehouse,40721,2024-05-22,418853bb,mhall@jones.org
9ccec569,Jason,Anderson,Sales,Sales,73569,2020-03-26,8f6dc163,sandra17@hotmail.com
1e32f860,Natalie,Reeves,Logistics,Sales,60939,2023-05-04,f8634472,mariewalker@escobar.org
a5ff9911,Randy,West,HR,Warehouse,44893,2021-02-23,4538a504,foxcassie@erickson.com
080c9836,Christina,Malone,Logistics,Sales,52509,2024-11-11,3a868f4c,jsummers@dyer.net
2f872c65,April,Nguyen,Manager,Corporate,116352,2021-07-11,df3f782a,kara78@stone-johnson.com
fe7afd1d,Abigail,Evans,Sales,Warehouse,68006,2021-05-20,e909ced2,sandra63@hotmail.com
deac5919,Casey,Fernandez,Logistics,Corporate,59890,2020-10-09,8068154a,thomas11@vasquez.org
02944431,Shelby,Velasquez,HR,Sales,99819,2020-09-07,97416fe3,millerdonald@sanders-lynch.com
7ab09020,Jeremy,Nolan,Sales,HR,106250,2020-11-22,8b5d1758,thomas01@gmail.com
8e146163,Gregg,Baker,Manager,HR,32784,2021-02-12,8d1a4de4,joshua20@gmail.com
3223c528,Caleb,Bryant,Sales,Corporate,91062,2023-03-23,2f8fa6bb,phillipschristopher@rice-fuentes.info
1b1f0e5e,Dan,Mcneil,Manager,HR,98839,2024-02-21,10bf5328,nancyberry@salinas.com
87ff7e89,Lisa,Maddox,Logistics,HR,66224,2020-02-21,eb115f93,morganwesley@wood-freeman.org
40f32f81,Amy,Mata,Logistics,Warehouse,64955,2022-01-03,4d7f2e46,brianna04@gmail.com
8bff4c63,Stanley,Williams,Sales,Warehouse,83293,2023-07-14,aa92481c,stacey98@gmail.com
